Nombre,Edad,Posicion,Club,Liga,Nacionalidad,Calificacion,Duelos ganados totales,Bloqueos totales,Duelos aereos ganados x cada 90 min totales,Minutos x partido,Pases x cada 90 minutos totales,Faltas cometidas x cada 90 min totales,Pases x juego totales,Duelos regate perdidos x cada 90 min totales,Pases completos totales,Pases totales,Porcentaje atajadas totales,Atajadas x partido totales,Atajadas totales,Pases completos x partidos totales,Pases completos x cada 90 min,Duelos totales,Faltas recibidas x partido totales,Atajadas x cada 90 min totales,Regates existosos x partido totales,Tiros x partido totales,Tiros puerta x cada 90 min totales,Balones perdidos x cada 90 min totales,Faltas recibidas x cada 90 min totales,Duelos ganados x cada 90 min totales,Minutos x gol totales,Pases clave x partido totales,Participacion en goles x cada 90 min totales,Pases clave x cada 90 min totales,Pases clave totales
Linton Mania,24,Midfielder,Köln,Bundesliga,Germany,9.13917525773196,,,,68.0,,,17.58,,449.0,580.0,,,,13.61,17.89,,,,,,,,,,,1.09,0.4,1.43,36.0
Lucas Silva Melo,24,Defender,Eintracht Frankfurt,Bundesliga,Brazil,8.662371134020619,133.0,14.0,1.56,88.0,59.5,1.1,57.71,0.7,1445.0,1789.0,,,,,,,,,,,,,,,,,,,
Lucas Tousart,26,Midfielder,Hertha BSC,Bundesliga,France,8.847938144329898,,,,89.0,,,25.79,,530.0,851.0,,,,16.06,16.18,,,,,,,,,,,0.58,0.21,0.58,19.0
Lukáš Hrádecký,34,Goalkeeper,Bayer Leverkusen,Bundesliga,Finland,8.84536082474227,,,,,,,28.58,,,943.0,67.81,3.0,99.0,19.55,19.55,9.0,0.0,3.0,,,,,,,,,,,
Manuel Riemann,35,Goalkeeper,Bochum,Bundesliga,Germany,8.95876288659794,,,,,,,47.56,,,1617.0,65.0,3.82,130.0,27.79,28.47,29.0,0.12,3.92,,,,,,,,,,,
Marc-Oliver Kempf,29,Defender,Hertha BSC,Bundesliga,Germany,8.953608247422682,204.0,32.0,4.25,88.0,43.17,0.9,41.97,0.17,1012.0,1301.0,,,,,,,,,,,,,,,,,,,
Marco Friedl,26,Defender,Werder Bremen,Bundesliga,Austria,8.878865979381445,132.0,16.0,1.58,87.0,56.43,0.83,54.21,0.79,1288.0,1572.0,,,,,,,,,,,,,,,,,,,
Marcus Thuram,26,Forward,Borussia M'gladbach,Bundesliga,France,9.085051546391753,,,,,,,18.23,,,,,,,13.7,14.69,,,,1.3,2.6,1.57,1.68,1.57,4.97,194.0,,,,
Mario Götze,31,Midfielder,Eintracht Frankfurt,Bundesliga,Germany,8.811855670103094,,,,86.0,,,43.03,,1078.0,1377.0,,,,33.69,35.28,,,,,,,,,,,1.38,0.13,1.44,44.0
Marius Bülter,31,Midfielder,Schalke 04,Bundesliga,Germany,8.793814432989691,,,,79.0,,,18.24,,393.0,602.0,,,,11.91,13.97,,,,,,,,,,,1.18,0.41,1.39,39.0
Mark Flekken,30,Goalkeeper,Freiburg,Bundesliga,Netherlands,8.917525773195878,,,,,,,38.29,,,1302.0,70.07,3.03,103.0,26.35,26.6,15.0,0.09,3.06,,,,,,,,,,,
Marvin Ducksch,30,Forward,Werder Bremen,Bundesliga,Germany,9.149484536082475,,,,,,,22.39,,,,,,,15.39,16.36,,,,0.33,2.21,1.42,0.55,0.48,1.93,239.0,,,,
Marvin Plattenhardt,32,Defender,Hertha BSC,Bundesliga,Germany,8.68298969072165,98.0,10.0,0.79,78.0,29.28,0.79,25.26,0.64,584.0,783.0,,,,,,,,,,,,,,,,,,,
Marvin Schwäbe,29,Goalkeeper,Köln,Bundesliga,Germany,8.75,,,,,,,37.41,,,1272.0,59.4,2.32,79.0,28.76,28.76,10.0,0.06,2.32,,,,,,,,,,,
Mats Hummels,35,Defender,Borussia Dortmund,Bundesliga,Germany,9.051546391752577,154.0,15.0,3.16,70.0,74.01,0.81,54.63,1.04,1440.0,1639.0,,,,,,,,,,,,,,,,,,,
Matthias Ginter,30,Defender,Freiburg,Bundesliga,Germany,8.93556701030928,189.0,25.0,3.44,90.0,54.59,0.65,54.09,0.36,1520.0,1839.0,,,,,,,,,,,,,,,,,,,
Matthijs de Ligt,24,Defender,Bayern Munich,Bundesliga,Netherlands,9.059278350515465,133.0,20.0,3.29,78.0,74.61,0.69,63.0,0.34,1783.0,1953.0,,,,,,,,,,,,,,,,,,,
Maximilian Arnold,29,Midfielder,Wolfsburg,Bundesliga,Germany,9.172680412371136,,,,87.0,,,43.52,,1111.0,1349.0,,,,35.84,37.24,,,,,,,,,,,1.19,0.26,1.24,37.0
Maximilian Eggestein,27,Midfielder,Freiburg,Bundesliga,Germany,8.827319587628867,,,,79.0,,,26.45,,641.0,820.0,,,,20.68,23.76,,,,,,,,,,,0.71,0.11,0.82,22.0
Maya Yoshida,35,Defender,Schalke 04,Bundesliga,Japan,8.86855670103093,136.0,29.0,2.94,88.0,50.01,0.73,47.52,0.4,1067.0,1378.0,,,,,,,,,,,,,,,,,,,
Michael Gregoritsch,30,Forward,Freiburg,Bundesliga,Austria,8.948453608247425,,,,,,,16.33,,,,,,,9.23,11.62,,,,0.33,1.87,1.55,0.92,1.8,8.56,217.0,,,,
Mickey van de Ven,23,Defender,Wolfsburg,Bundesliga,Netherlands,8.909793814432991,122.0,24.0,1.09,90.0,49.81,0.72,49.81,0.38,1404.0,1594.0,,,,,,,,,,,,,,,,,,,
Milos Veljkovic,28,Midfielder,Werder Bremen,Bundesliga,Serbia,8.809278350515465,,,,78.0,,,47.21,,1083.0,1322.0,,,,38.68,44.83,,,,,,,,,,,0.25,0.08,0.29,7.0
Mitchell Weiser,30,Midfielder,Werder Bremen,Bundesliga,Germany,9.234536082474229,,,,84.0,,,32.71,,645.0,916.0,,,,23.04,24.09,,,,,,,,,,,1.39,0.39,1.46,39.0
Moussa Diaby,24,Forward,Bayer Leverkusen,Bundesliga,France,8.953608247422682,,,,,,,26.33,,,,,,,20.91,22.85,,,,1.42,1.85,1.16,1.42,0.76,2.85,302.0,,,,
Niclas Füllkrug,31,Forward,Werder Bremen,Bundesliga,Germany,9.265463917525775,,,,,,,30.26,,,,,,,19.41,19.73,,,,0.93,2.26,1.24,1.96,1.62,7.95,155.0,,,,
Nico Elvedi,27,Defender,Borussia M'gladbach,Bundesliga,Switzerland,8.829896907216497,131.0,16.0,2.26,88.0,68.23,0.8,67.0,0.41,1962.0,2144.0,,,,,,,,,,,,,,,,,,,
Nico Schlotterbeck,24,Defender,Borussia Dortmund,Bundesliga,Germany,8.987113402061855,149.0,20.0,2.48,81.0,75.35,0.64,67.39,0.64,1643.0,1887.0,,,,,,,,,,,,,,,,,,,
Nicolas Höfler,34,Midfielder,Freiburg,Bundesliga,Germany,8.81701030927835,,,,88.0,,,42.03,,1127.0,1345.0,,,,35.22,36.3,,,,,,,,,,,0.16,0.03,0.16,5.0
Niklas Stark,29,Defender,Werder Bremen,Bundesliga,Germany,8.902061855670103,123.0,13.0,2.13,77.0,53.76,1.72,45.69,0.68,979.0,1188.0,,,,,,,,,,,,,,,,,,,
Niklas Süle,28,Defender,Borussia Dortmund,Bundesliga,Germany,8.737113402061857,69.0,19.0,1.38,73.0,75.74,0.34,60.62,0.34,1605.0,1758.0,,,,,,,,,,,,,,,,,,,
Obite Evan N'Dicka,24,Defender,Eintracht Frankfurt,Bundesliga,France,8.902061855670103,124.0,19.0,2.64,90.0,59.62,1.04,59.47,0.47,1540.0,1784.0,,,,,,,,,,,,,,,,,,,
Oliver Baumann,33,Goalkeeper,Hoffenheim,Bundesliga,Germany,8.780927835051548,,,,,,,36.0,,,1224.0,63.46,2.91,99.0,26.15,26.36,14.0,0.0,2.94,,,,,,,,,,,
Oliver Christensen,25,Goalkeeper,Hertha BSC,Bundesliga,Denmark,8.765463917525775,,,,,,,31.55,,,1041.0,59.04,2.97,98.0,18.42,18.42,23.0,0.24,2.97,,,,,,,,,,,
Ozan Kabak,24,Defender,Hoffenheim,Bundesliga,Turkey,8.984536082474227,163.0,23.0,3.05,80.0,46.94,2.03,41.6,0.45,1043.0,1248.0,,,,,,,,,,,,,,,,,,,
Paulo Otavio Rosa Silva,29,Defender,Wolfsburg,Bundesliga,Brazil,8.734536082474229,154.0,6.0,1.24,82.0,39.52,1.06,35.88,1.01,645.0,861.0,,,,,,,,,,,,,,,,,,,
Philipp Hofmann,31,Forward,Bochum,Bundesliga,Germany,8.91237113402062,,,,,,,20.85,,,,,,,12.32,14.67,,,,0.24,1.12,0.74,1.19,1.37,9.35,330.0,,,,
Philipp Lienhart,27,Defender,Freiburg,Bundesliga,Austria,8.845360824742269,127.0,14.0,2.32,86.0,57.85,0.63,56.11,0.52,1337.0,1571.0,,,,,,,,,,,,,,,,,,,
Piero Hincapié,22,Defender,Bayer Leverkusen,Bundesliga,Ecuador,8.891752577319588,158.0,19.0,2.19,82.0,60.83,1.46,55.53,0.51,1388.0,1666.0,,,,,,,,,,,,,,,,,,,
Rafał Gikiewicz,36,Goalkeeper,Augsburg,Bundesliga,Poland,8.93814432989691,,,,,,,42.82,,,942.0,69.77,4.09,90.0,30.36,30.36,13.0,0.14,4.09,,,,,,,,,,,
Ramy Bensebaini,29,Defender,Borussia M'gladbach,Bundesliga,Algeria,9.100515463917526,159.0,13.0,2.5,89.0,44.76,0.87,44.18,0.43,961.0,1237.0,,,,,,,,,,,,,,,,,,,
Randal Kolo Muani,25,Forward,Eintracht Frankfurt,Bundesliga,France,9.041237113402062,,,,,,,19.22,,,,,,,12.94,14.08,,,,2.19,1.94,1.09,2.04,2.41,7.31,176.0,,,,
Rani Khedira,30,Midfielder,Union Berlin,Bundesliga,Germany,8.739690721649486,,,,87.0,,,30.64,,763.0,1011.0,,,,23.12,24.01,,,,,,,,,,,0.24,0.06,0.25,8.0
Raphaël Guerreiro,30,Defender,Borussia Dortmund,Bundesliga,Portugal,8.79639175257732,82.0,2.0,0.2,85.0,59.81,0.32,55.85,0.44,1288.0,1508.0,,,,,,,,,,,,,,,,,,,
Ritsu Doan,25,Forward,Freiburg,Bundesliga,Japan,8.793814432989691,,,,,,,17.52,,,,,,,12.79,15.67,,,,1.42,1.24,1.0,1.82,1.82,5.94,489.0,,,,
Robert Andrich,29,Midfielder,Bayer Leverkusen,Bundesliga,Germany,8.938144329896907,,,,83.0,,,49.28,,1204.0,1429.0,,,,41.52,44.98,,,,,,,,,,,0.62,0.15,0.67,18.0
Robert Gumny,25,Defender,Augsburg,Bundesliga,Poland,8.469072164948454,95.0,6.0,1.93,69.0,26.87,1.32,20.36,0.61,378.0,570.0,,,,,,,,,,,,,,,,,,,
Robin Knoche,31,Defender,Union Berlin,Bundesliga,Germany,8.963917525773198,128.0,18.0,1.7,90.0,51.1,0.44,50.62,0.73,1315.0,1620.0,,,,,,,,,,,,,,,,,,,
Robin Zentner,29,Goalkeeper,Mainz 05,Bundesliga,Germany,8.951030927835053,,,,,,,27.96,,,671.0,64.42,2.79,67.0,15.5,15.5,21.0,0.08,2.79,,,,,,,,,,,
Sheraldo Becker,29,Forward,Union Berlin,Bundesliga,Suriname,9.005154639175258,,,,,,,14.76,,,,,,,10.18,12.11,,,,0.74,1.35,0.91,1.26,0.91,2.8,235.0,,,,
Silla Wamangituka,24,Forward,Stuttgart,Bundesliga,Congo DR,8.644329896907218,,,,,,,11.83,,,,,,,9.43,12.62,,,,1.43,0.97,0.85,1.87,0.98,4.77,400.0,,,,
Stefan Bell,32,Defender,Mainz 05,Bundesliga,Germany,8.829896907216494,154.0,13.0,4.1,80.0,45.91,1.79,40.36,0.85,869.0,1130.0,,,,,,,,,,,,,,,,,,,
Suat Serdar,27,Midfielder,Hertha BSC,Bundesliga,Germany,8.623711340206185,,,,64.0,,,18.72,,429.0,599.0,,,,13.41,18.98,,,,,,,,,,,0.56,0.27,0.8,18.0
Timo Hübers,27,Defender,Köln,Bundesliga,Germany,8.786082474226804,164.0,14.0,3.31,88.0,59.57,1.09,58.38,0.95,1398.0,1693.0,,,,,,,,,,,,,,,,,,,
Tom Krauß,22,Midfielder,Schalke 04,Bundesliga,Germany,8.778350515463917,,,,79.0,,,23.78,,555.0,761.0,,,,17.34,20.34,,,,,,,,,,,0.31,0.07,0.37,10.0
Vincenzo Grifo,31,Midfielder,Freiburg,Bundesliga,Italy,9.329896907216497,,,,74.0,,,35.0,,908.0,1155.0,,,,27.52,33.62,,,,,,,,,,,1.67,0.74,2.04,55.0
Waldemar Anton,27,Defender,Stuttgart,Bundesliga,Germany,8.768041237113403,153.0,15.0,1.65,87.0,57.84,0.95,55.59,0.64,1510.0,1890.0,,,,,,,,,,,,,,,,,,,
Wataru Endo,31,Defender,Stuttgart,Bundesliga,Japan,8.84020618556701,223.0,6.0,2.22,89.0,44.95,1.23,44.27,1.26,1165.0,1461.0,,,,,,,,,,,,,,,,,,,
Willi Orban,31,Defender,RB Leipzig,Bundesliga,Germany,8.974226804123713,192.0,19.0,3.35,89.0,78.66,0.55,76.31,0.45,2179.0,2442.0,,,,,,,,,,,,,,,,,,,
Yann Sommer,35,Goalkeeper,Bayern Munich,Bundesliga,Switzerland,8.907216494845361,,,,,,,40.59,,,1177.0,66.37,2.59,75.0,33.79,34.43,12.0,0.03,2.63,,,,,,,,,,,
Aimar Oroz,22,Midfielder,CA Osasuna,La Liga,Spain,8.726804123711341,,,,65.0,,,25.94,,643.0,804.0,,,,20.74,28.63,,,,,,,,,,,1.1,0.4,1.51,34.0
Aleix García,26,Midfielder,Girona FC,La Liga,Spain,9.394329896907218,,,,78.0,,,48.33,,1291.0,1450.0,,,,43.03,49.63,,,,,,,,,,,2.23,0.23,2.58,67.0
Alejandro Balde,21,Defender,FC Barcelona,La Liga,Spain,8.77319587628866,140.0,3.0,0.69,75.0,51.12,0.94,42.64,0.62,1282.0,1407.0,,,,,,,,,,,,,,,,,,,
Alejandro Catena,29,Defender,Rayo Vallecano,La Liga,Spain,8.88659793814433,126.0,24.0,2.26,89.0,52.45,0.93,51.71,0.41,1500.0,1810.0,,,,,,,,,,,,,,,,,,,
Álex Berenguer,28,Forward,Athletic Club Bilbao,La Liga,Spain,8.824742268041238,,,,,,,20.59,,,,,,,15.49,22.41,,,,0.95,1.19,0.74,1.6,1.02,5.91,576.0,,,,
Álex Remiro,29,Goalkeeper,Real Sociedad,La Liga,Spain,8.896907216494846,,,,,,,30.74,,,1168.0,74.26,2.66,101.0,21.18,21.18,15.0,0.11,2.66,,,,,,,,,,,
Alexander Sørloth,28,Forward,Real Sociedad,La Liga,Norway,8.938144329896907,,,,,,,13.74,,,,,,,9.59,12.22,,,,0.79,1.56,1.05,2.4,0.6,4.46,200.0,,,,
Alfonso Espino,32,Defender,Cadiz,La Liga,Uruguay,8.809278350515465,183.0,9.0,0.95,87.0,32.94,1.41,31.75,1.3,769.0,1143.0,,,,,,,,,,,,,,,,,,,
Álvaro García,31,Forward,Rayo Vallecano,La Liga,Spain,8.860824742268042,,,,,,,23.31,,,,,,,16.63,18.14,,,,0.63,1.09,0.65,0.56,1.03,3.61,578.0,,,,
André Almeida,23,Midfielder,Valencia CF,La Liga,Portugal,8.958762886597938,,,,75.0,,,36.59,,1052.0,1244.0,,,,30.94,37.14,,,,,,,,,,,1.24,0.21,1.48,42.0
Antoine Griezmann,33,Forward,Atletico Madrid,La Liga,France,9.288659793814434,,,,,,,38.26,,,,,,,31.5,37.67,,,,1.18,2.29,1.42,1.16,1.29,5.03,191.0,,,,
Antonio Raíllo,32,Defender,RCD Mallorca,La Liga,Spain,9.043814432989691,151.0,30.0,3.06,89.0,35.16,1.37,34.87,0.16,898.0,1081.0,,,,,,,,,,,,,,,,,,,
Antonio Rüdiger,31,Defender,Real Madrid,La Liga,Germany,8.863402061855671,69.0,13.0,1.42,73.0,59.85,0.45,48.55,0.34,1474.0,1602.0,,,,,,,,,,,,,,,,,,,
Arnau Martinez,21,Defender,Girona FC,La Liga,Spain,8.84278350515464,192.0,10.0,1.12,83.0,41.42,1.18,38.18,1.45,1034.0,1260.0,,,,,,,,,,,,,,,,,,,
Aurélien Tchouaméni,24,Midfielder,Real Madrid,La Liga,France,9.11855670103093,,,,64.0,,,50.85,,1569.0,1678.0,,,,47.55,66.61,,,,,,,,,,,0.67,0.17,0.93,22.0
Axel Witsel,35,Midfielder,Atletico Madrid,La Liga,Belgium,8.649484536082475,,,,68.0,,,40.12,,1225.0,1324.0,,,,37.12,48.91,,,,,,,,,,,0.12,0.0,0.16,4.0
Borja Iglesias,31,Forward,Real Betis,La Liga,Spain,8.9819587628866,,,,,,,14.54,,,,,,,11.03,14.59,,,,0.26,1.37,1.02,1.4,2.0,3.44,159.0,,,,
Borja Mayoral,27,Forward,Getafe CF,La Liga,Spain,8.77061855670103,,,,,,,20.86,,,,,,,16.17,18.35,,,,0.63,1.11,0.68,1.78,1.23,3.37,347.0,,,,
Brais Méndez,27,Midfielder,Real Sociedad,La Liga,Spain,8.971649484536083,,,,71.0,,,34.59,,970.0,1176.0,,,,28.53,36.12,,,,,,,,,,,1.41,0.45,1.79,48.0
Brian Oliván,30,Defender,RCD Espanyol,La Liga,Spain,8.587628865979383,82.0,6.0,0.63,80.0,28.01,1.19,25.03,0.34,529.0,751.0,,,,,,,,,,,,,,,,,,,
Carles Aleña,26,Midfielder,Getafe CF,La Liga,Spain,8.70360824742268,,,,61.0,,,21.66,,597.0,758.0,,,,17.06,25.24,,,,,,,,,,,0.43,0.17,0.63,15.0
Carles Pérez,26,Forward,Celta de Vigo,La Liga,Spain,8.708762886597938,,,,,,,18.43,,,,,,,15.89,23.31,,,,1.29,0.83,0.84,1.22,1.55,5.32,716.0,,,,
Carlos Clerc,32,Defender,Elche CF,La Liga,Spain,8.809278350515465,151.0,7.0,0.71,83.0,35.82,1.09,32.94,0.61,825.0,1054.0,,,,,,,,,,,,,,,,,,,
Dani Parejo,35,Midfielder,Villarreal,La Liga,Spain,9.25257731958763,,,,89.0,,,64.59,,2163.0,2390.0,,,,58.46,59.19,,,,,,,,,,,1.32,0.19,1.34,49.0
Dani Rodríguez,35,Midfielder,RCD Mallorca,La Liga,Spain,8.835051546391755,,,,60.0,,,18.37,,528.0,643.0,,,,15.09,22.48,,,,,,,,,,,0.77,0.38,1.15,27.0
Dani Vivian,24,Defender,Athletic Club Bilbao,La Liga,Spain,8.77319587628866,119.0,14.0,1.52,82.0,53.98,1.48,49.1,0.34,1156.0,1424.0,,,,,,,,,,,,,,,,,,,
David García,30,Defender,CA Osasuna,La Liga,Spain,8.8840206185567,134.0,13.0,2.77,84.0,47.35,1.8,44.31,0.1,1148.0,1418.0,,,,,,,,,,,,,,,,,,,
David Soria,31,Goalkeeper,Getafe CF,La Liga,Spain,8.920103092783506,,,,,,,27.08,,,1029.0,73.68,3.32,126.0,13.61,13.61,10.0,0.08,3.32,,,,,,,,,,,
Djene Dakonam,32,Defender,Getafe CF,La Liga,Togo,8.760309278350515,144.0,11.0,1.65,86.0,34.75,1.58,33.27,0.47,856.0,1098.0,,,,,,,,,,,,,,,,,,,
Domingos Duarte,29,Defender,Getafe CF,La Liga,Portugal,8.672680412371136,100.0,22.0,1.56,86.0,32.51,1.08,30.97,0.2,744.0,960.0,,,,,,,,,,,,,,,,,,,
Éder Militão,26,Defender,Real Madrid,La Liga,Brazil,9.110824742268042,158.0,39.0,2.17,82.0,61.39,1.17,55.85,0.23,1630.0,1843.0,,,,,,,,,,,,,,,,,,,
Edgar Badia,32,Goalkeeper,Elche CF,La Liga,Spain,8.95876288659794,,,,,,,24.67,,,888.0,68.5,3.81,137.0,17.17,17.17,19.0,0.17,3.81,,,,,,,,,,,
Eduardo Camavinga,21,Midfielder,Real Madrid,La Liga,France,8.82216494845361,,,,54.0,,,38.16,,1288.0,1412.0,,,,34.81,57.84,,,,,,,,,,,0.65,0.04,1.08,24.0
Enes Ünal,26,Forward,Getafe CF,La Liga,Turkey,9.25515463917526,,,,,,,20.74,,,,,,,12.57,13.26,,,,0.51,1.86,1.11,1.45,2.32,8.23,213.0,,,,
Federico Valverde,25,Midfielder,Real Madrid,La Liga,Uruguay,9.079896907216497,,,,74.0,,,46.71,,1408.0,1588.0,,,,41.41,50.49,,,,,,,,,,,1.29,0.39,1.58,44.0
Fernando Martínez,33,Goalkeeper,Almeria,La Liga,Spain,8.951030927835053,,,,,,,29.54,,,1093.0,68.39,3.57,132.0,19.22,19.47,12.0,0.14,3.62,,,,,,,,,,,
Florian Lejeune,32,Defender,Rayo Vallecano,La Liga,France,8.654639175257733,104.0,16.0,2.14,83.0,48.64,0.77,44.81,0.25,1098.0,1389.0,,,,,,,,,,,,,,,,,,,
Fran Beltrán,25,Midfielder,Celta de Vigo,La Liga,Spain,8.930412371134022,,,,80.0,,,48.69,,1580.0,1753.0,,,,43.89,49.67,,,,,,,,,,,0.67,0.06,0.75,24.0
Fran García,24,Defender,Rayo Vallecano,La Liga,Spain,8.958762886597938,146.0,9.0,0.18,90.0,41.0,0.58,40.87,1.06,1269.0,1553.0,,,,,,,,,,,,,,,,,,,
Frenkie de Jong,26,Midfielder,FC Barcelona,La Liga,Netherlands,9.167525773195877,,,,77.0,,,68.3,,2061.0,2254.0,,,,62.45,73.06,,,,,,,,,,,1.36,0.21,1.6,45.0
Gabri Veiga,21,Midfielder,Celta de Vigo,La Liga,Spain,8.850515463917526,,,,64.0,,,19.39,,536.0,698.0,,,,14.89,20.87,,,,,,,,,,,0.78,0.58,1.09,28.0
Gavi,19,Midfielder,FC Barcelona,La Liga,Spain,8.922680412371136,,,,71.0,,,32.19,,1015.0,1159.0,,,,28.19,35.94,,,,,,,,,,,1.06,0.21,1.35,38.0
Gerard Gumbau,29,Midfielder,Elche CF,La Liga,Spain,9.250000000000002,,,,78.0,,,36.03,,1027.0,1261.0,,,,29.34,33.67,,,,,,,,,,,2.03,0.23,2.33,71.0
Germán Pezzella,32,Defender,Real Betis,La Liga,Argentina,8.757731958762887,133.0,15.0,2.54,81.0,45.89,0.93,41.39,0.43,1108.0,1283.0,,,,,,,,,,,,,,,,,,,
Giorgi Mamardashvili,23,Goalkeeper,Valencia CF,La Liga,Georgia,8.858247422680414,,,,,,,24.74,,,940.0,70.0,2.76,105.0,14.89,14.89,14.0,0.08,2.76,,,,,,,,,,,
Gonzalo Plata,23,Forward,Real Valladolid,La Liga,Ecuador,8.731958762886599,,,,,,,20.29,,,,,,,15.88,21.05,,,,1.74,0.76,0.51,1.52,1.6,7.21,2309.0,,,,
Guido Rodríguez,30,Midfielder,Real Betis,La Liga,Argentina,8.907216494845361,,,,85.0,,,49.18,,1464.0,1672.0,,,,43.06,45.97,,,,,,,,,,,0.32,0.03,0.35,11.0
Hugo Mallo,32,Defender,Celta de Vigo,La Liga,Spain,8.84020618556701,133.0,7.0,2.15,84.0,48.23,1.82,44.77,0.54,922.0,1164.0,,,,,,,,,,,,,,,,,,,
Iago Aspas,36,Forward,Celta de Vigo,La Liga,Spain,9.038659793814434,,,,,,,31.43,,,,,,,24.84,28.86,,,,0.57,1.76,1.04,1.44,1.85,3.77,239.0,,,,
Igor Zubeldia,27,Defender,Real Sociedad,La Liga,Spain,8.72938144329897,113.0,17.0,2.16,82.0,54.11,1.56,49.35,0.32,1309.0,1530.0,,,,,,,,,,,,,,,,,,,
Iñaki Williams,29,Forward,Athletic Club Bilbao,La Liga,Ghana,8.971649484536083,,,,,,,19.64,,,,,,,13.92,15.8,,,,1.25,1.83,1.1,1.36,0.98,4.07,285.0,,,,
Íñigo Ruiz de Galarreta,30,Midfielder,RCD Mallorca,La Liga,Spain,8.966494845360826,,,,82.0,,,39.1,,997.0,1173.0,,,,33.23,36.54,,,,,,,,,,,0.63,0.04,0.7,19.0
Isaac Carcelén,31,Defender,Cadiz,La Liga,Spain,8.75257731958763,130.0,11.0,0.86,82.0,30.1,0.65,27.3,0.9,598.0,737.0,,,,,,,,,,,,,,,,,,,
Isi Palazón,29,Forward,Rayo Vallecano,La Liga,Spain,8.927835051546392,,,,,,,31.38,,,,,,,24.73,27.55,,,,1.19,1.76,0.72,1.99,3.1,6.74,332.0,,,,
Iván Balliu,32,Defender,Rayo Vallecano,La Liga,Albania,8.726804123711341,127.0,3.0,0.78,88.0,36.69,1.17,35.68,0.28,1055.0,1320.0,,,,,,,,,,,,,,,,,,,
Jan Oblak,31,Goalkeeper,Atletico Madrid,La Liga,Slovenia,8.914948453608249,,,,,,,24.96,,,699.0,75.31,2.18,61.0,15.25,15.41,6.0,0.11,2.2,,,,,,,,,,,
Jaume Costa,36,Defender,RCD Mallorca,La Liga,Spain,8.760309278350515,123.0,5.0,1.04,82.0,30.4,1.48,27.53,0.69,660.0,881.0,,,,,,,,,,,,,,,,,,,
Javi Galán,29,Defender,Celta de Vigo,La Liga,Spain,8.914948453608249,282.0,5.0,0.94,85.0,43.22,1.42,41.05,1.22,1230.0,1519.0,,,,,,,,,,,,,,,,,,,
Javi Puado,25,Forward,RCD Espanyol,La Liga,Spain,8.948453608247423,,,,,,,14.59,,,,,,,11.78,16.71,,,,0.57,1.35,0.88,1.03,1.0,3.37,335.0,,,,
Javier Sánchez de Felipe,27,Defender,Real Valladolid,La Liga,Spain,8.75257731958763,107.0,22.0,1.8,75.0,43.65,1.28,36.31,0.26,956.0,1162.0,,,,,,,,,,,,,,,,,,,
Jeremías Ledesma,31,Goalkeeper,Cadiz,La Liga,Argentina,9.046391752577321,,,,,,,28.62,,,973.0,73.63,3.94,134.0,13.35,13.35,26.0,0.18,3.94,,,,,,,,,,,
Joaquín Fernández,27,Defender,Real Valladolid,La Liga,Spain,8.801546391752577,99.0,21.0,2.13,80.0,40.83,0.67,36.22,0.46,813.0,978.0,,,,,,,,,,,,,,,,,,,
